ID,FirstYear,LastYear
19419,2004,2004
19420,1960,1960
19476,1988,1988
19488,1988,1988
19578,1968,1972
19600,1988,1988
19602,1932,1932
19603,2016,2016
19606,1924,1924
19633,1924,1924
19645,2008,2008
19651,1972,1972
19659,1912,1912
19663,1964,1964
19664,1936,1936
19670,2004,2008
19681,1964,1964
19683,2000,2000
19686,1968,1968
19694,1972,1972
19697,1972,1972
19698,2000,2004
19739,1948,1948
19740,2000,2000
19759,1984,1988
19774,1988,1988
19784,1996,1996
19792,1968,1968
19794,1976,1976
19797,2008,2016
19798,1988,1988
19815,1996,1996
19844,1956,1956
19848,2004,2004
19850,1968,1968
19906,2008,2008
19920,1924,1932
19926,1972,1972
19954,1980,1980
19955,2012,2012
19984,1972,1972
19996,1948,1948
20008,2012,2012
20029,1996,1996
20034,1996,1996
20052,1948,1948
20063,2000,2004
20065,1980,1980
20073,2016,2016
20075,1964,1964
20145,1996,2000
20159,2012,2012
20177,2004,2004
20203,2000,2004
20204,2008,2008
20205,1988,1988
20208,2012,2012
20212,1988,1992
20214,2016,2016
20226,1988,1988
20251,2012,2012
20252,1984,1984
20271,2004,2004
20299,2016,2016
20300,2004,2004
20305,1996,2000
20306,1996,1996
20311,2008,2008
20313,2008,2012
20339,2004,2008
20345,1964,1964
20346,1960,1960
20352,2016,2016
20363,2012,2012
20368,2004,2004
20380,2004,2012
20419,2000,2000
20420,1972,1972
20422,2016,2016
20437,1996,1996
20474,1984,1984
20495,2000,2000
20534,2000,2012
20556,2012,2016
20572,1952,1960
20591,2012,2012
20593,1900,1900
20607,1972,1972
20610,1992,1992
20617,1996,2000
20625,1988,1988
20630,1972,1976
20634,2000,2000
20652,1996,1996
20658,1992,1996
20677,1968,1968
20694,2012,2016
20727,2016,2016
20740,1948,1948
20769,2016,2016
20787,2008,2008
20790,2008,2008
20793,2004,2004
20795,1968,1968
20844,2012,2016
20870,2000,2000
20878,1992,2008
20881,1984,1984
20949,2012,2012
21009,2012,2016
21010,2004,2004
21014,2008,2012
21069,2000,2000
21091,1984,1984
21102,1964,1964
21178,1996,2000
21184,1984,1984
21188,1984,1984
21207,1996,1996
21227,2008,2008
21231,1988,1988
21246,1936,1936
21267,1936,1936
21286,1980,1980
21289,2016,2016
21301,1936,1936
21314,1924,1924
21331,1956,1964
21370,2000,2000
21372,2004,2004
21385,2000,2004
21392,1972,1972
21395,2012,2012
21429,1992,1992
21433,1980,1980
21439,2016,2016
21446,1948,1948
21454,1984,1984
21463,1988,1988
21479,1988,1988
21498,1976,1976
21544,2008,2012
21553,2012,2012
21612,2016,2016
21614,1972,1972
21693,2004,2004
21698,2008,2008
21754,1928,1928
21766,1972,1972
21779,1976,1976
21784,1984,1984
21837,1960,1964
21852,1976,1976
21883,1960,1960
21884,1992,1996
21900,2012,2012
21904,1988,1988
21929,1988,1992
21936,2016,2016
21942,1936,1936
21956,1996,2000
21962,1968,1968
21984,1984,1984
22017,2008,2012
22023,1952,1952
22025,1988,1996
22026,1988,1988
22027,1972,1972
22028,1900,1900
22034,1976,1976
22036,1972,1972
22041,1972,1972
22062,1996,1996
22089,1988,1996
22097,1920,1920
22107,1992,2004
22111,2008,2008
22121,2016,2016
22161,1984,1988
22166,2008,2016
22169,2012,2012
22196,2016,2016
22197,1964,1964
22219,2016,2016
22258,1948,1948
22274,1984,1984
22278,2004,2004
22281,1956,1956
22318,2008,2008
22338,1972,1972
22339,1972,1976
22344,1924,1924
22355,2012,2016
22395,2000,2000
22436,1996,1996
22439,1956,1956
22443,1912,1912
22465,1984,1984
22510,1984,1984
22514,1984,1984
22524,1984,1984
22538,2008,2012
22542,1960,1960
22545,1960,1960
22553,2012,2012
22563,2000,2008
22573,1972,1976
22580,1972,1972
22594,1968,1968
22622,2016,2016
22629,1988,1992
22630,1988,1988
22633,1952,1952
22641,2016,2016
22645,1956,1956
22647,1928,1928
22648,1972,1972
22662,2016,2016
22717,1936,1936
22720,2000,2004
22763,1960,1960
22817,1976,1976
22818,1988,1988
22844,2004,2008
22860,1948,1952
22865,2016,2016
22869,1972,1976
22876,1908,1908
22891,2000,2004
22906,1972,1972
22909,1996,1996
22914,2008,2008
22923,1972,1972
22932,1936,1936
22942,1928,1932
22946,1960,1960
22956,1906,1906
22957,1980,1980
22959,2004,2008
22968,1996,2004
22969,2004,2004
22982,1972,1972
22985,1984,1984
22992,1928,1928
22996,1976,1976
23031,1996,1996
23040,2016,2016
23063,1968,1972
23064,1984,1984
23067,2008,2008
23102,1952,1952
23123,1976,1976
23130,1948,1948
23134,1968,1968
23176,2004,2004
23179,1948,1948
23192,1976,1976
23196,1968,1972
23220,1960,1960
23229,1964,1964
23230,1908,1908
23267,1952,1952
23270,1960,1960
23277,1988,1992
23284,2004,2008
23299,2000,2000
23303,2008,2016
23317,1988,1988
23331,2016,2016
23344,2004,2008
23359,1928,1932
23385,1964,1964
23413,2004,2008
23415,1992,1992
23421,1968,1968
23425,1976,1976
23426,2004,2012
23432,2008,2008
23436,1988,1988
23459,1908,1920
23471,1948,1948
23478,1908,1912
23505,1936,1952
23510,1996,2004
23519,2008,2016
23521,1976,1976
23549,2000,2016
23565,1948,1948
23625,1928,1932
